"id","mode","exam_alignment","jft_section","skill_category","scenario","japanese","kana","romaji","indonesian","english","production_prompt_id","production_prompt_en","example","usage_note","review_status","japanese_review","indonesian_review","keep_or_fix","review_comment"
"id-stage1b-0001","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","City office / residence / documents","在留カード","ざいりゅうカード","zairyu kaado","kartu izin tinggal","residence card","N/A - recognition card","N/A - recognition card","受付で在留カードを出します。","Key document word for city office, clinic, and workplace onboarding situations.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0002","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word usage","City office / residence / documents","住所変更","じゅうしょへんこう","jusho henko","perubahan alamat","address change","N/A - recognition card","N/A - recognition card","引っ越したら住所変更をします。","Useful for resident registration and moving procedures.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0003","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","Health / insurance / documents","健康保険証","けんこうほけんしょう","kenko hokensho","kartu asuransi kesehatan","health insurance card","N/A - recognition card","N/A - recognition card","病院で健康保険証を使います。","Practical health-care document vocabulary for living in Japan.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0004","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","Workplace task","作業","さぎょう","sagyo","pekerjaan; tugas kerja","work task","N/A - recognition card","N/A - recognition card","朝の作業を始めます。","Common word in workplace instructions and task notes.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0005","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","Schedule / shifts / time","シフト表","シフトひょう","shifuto-hyo","daftar jadwal shift","shift schedule","N/A - recognition card","N/A - recognition card","シフト表を見ます。","Supports work scheduling, lateness prevention, and time planning.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0006","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word usage","Appointment / reservation","予約","よやく","yoyaku","janji temu; reservasi","appointment; reservation","N/A - recognition card","N/A - recognition card","病院の予約があります。","Useful for clinics, city office appointments, and services.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0007","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","Safety / warning / instructions","注意","ちゅうい","chui","perhatian; hati-hati","caution; attention","N/A - recognition card","N/A - recognition card","注意の紙を読みます。","Safety word that appears on signs, notices, and instructions.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0008","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","Workplace communication","上司","じょうし","joshi","atasan","supervisor","N/A - recognition card","N/A - recognition card","上司に連絡します。","Helps learners identify who to report to in work situations.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0009","Kanji / Sign Reading","JFT-Basic / SSW work-life","Script and Vocabulary","Kanji/sign reading","Public places / signs","出口","でぐち","deguchi","pintu keluar","exit","N/A - sign reading card","N/A - sign reading card","出口は左です。","Basic sign kanji for public spaces, stations, and buildings.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0010","Kanji / Sign Reading","JFT-Basic / SSW work-life","Script and Vocabulary","Kanji/sign reading","Safety / warning / signs","危険","きけん","kiken","bahaya","danger","N/A - sign reading card","N/A - sign reading card","危険ですから、近づきません。","High-value warning word for work and daily life.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0011","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word usage","Schedule / shifts / time","休憩","きゅうけい","kyukei","istirahat","break; rest","N/A - recognition card","N/A - recognition card","休憩は10時からです。","Core workplace schedule word.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
"id-stage1b-0012","Recognition","JFT-Basic / SSW work-life","Script and Vocabulary","Word meaning","City office / documents","申請書","しんせいしょ","shinseisho","formulir permohonan","application form","N/A - recognition card","N/A - recognition card","申請書に住所を書きます。","Useful for offices, agencies, and procedure-heavy contexts.","Japanese: draft / needs native check; Indonesian: machine_draft / needs human review; English fallback: draft / needs review; audio: not_added","","","",""
